,precision,recall,f1-score,support
0,0.8955223880597015,1.0,0.9448818897637796,60.0
1,0.993103448275862,1.0,0.9965397923875432,720.0
2,0.9868073878627969,0.9973333333333333,0.9920424403183024,750.0
3,0.9954337899543378,0.9688888888888889,0.9819819819819819,450.0
4,0.9969650986342944,0.9954545454545455,0.9962092494313874,660.0
5,0.9842271293375394,0.9904761904761905,0.9873417721518987,630.0
6,0.9930555555555556,0.9533333333333334,0.9727891156462586,150.0
7,0.9977777777777778,0.9977777777777778,0.9977777777777778,450.0
8,0.9955654101995566,0.9977777777777778,0.9966703662597114,450.0
9,0.997920997920998,1.0,0.9989594172736733,480.0
10,1.0,0.9954545454545455,0.9977220956719818,660.0
11,0.9974683544303797,0.9380952380952381,0.9668711656441717,420.0
12,1.0,0.9652173913043478,0.9823008849557522,690.0
13,0.9930843706777317,0.9972222222222222,0.9951489951489952,720.0
14,1.0,1.0,1.0,270.0
15,0.9767441860465116,1.0,0.988235294117647,210.0
16,0.9933774834437086,1.0,0.9966777408637874,150.0
17,1.0,1.0,1.0,360.0
18,0.9946666666666667,0.9564102564102565,0.9751633986928105,390.0
19,0.9523809523809523,1.0,0.975609756097561,60.0
20,0.9375,1.0,0.967741935483871,90.0
21,0.967741935483871,1.0,0.9836065573770492,90.0
22,0.9278350515463918,0.75,0.8294930875576036,120.0
23,0.7461928934010152,0.98,0.8472622478386168,150.0
24,1.0,0.9666666666666667,0.983050847457627,90.0
25,0.9542743538767395,1.0,0.9766022380467955,480.0
26,0.989010989010989,1.0,0.994475138121547,180.0
27,0.9722222222222222,0.5833333333333334,0.7291666666666666,60.0
28,0.9933774834437086,1.0,0.9966777408637874,150.0
29,0.9574468085106383,1.0,0.9782608695652174,90.0
30,0.8970588235294118,0.8133333333333334,0.8531468531468531,150.0
31,0.9642857142857143,1.0,0.9818181818181818,270.0
32,1.0,1.0,1.0,60.0
33,0.9859154929577465,1.0,0.9929078014184397,210.0
34,0.9917355371900827,1.0,0.995850622406639,120.0
35,1.0,0.9974358974358974,0.9987163029525032,390.0
36,0.9916666666666667,0.9916666666666667,0.9916666666666667,120.0
37,1.0,1.0,1.0,60.0
38,0.9899280575539569,0.9971014492753624,0.9935018050541518,690.0
39,0.945054945054945,0.9555555555555556,0.9502762430939227,90.0
40,0.8969072164948454,0.9666666666666667,0.93048128342246,90.0
41,1.0,1.0,1.0,60.0
42,1.0,1.0,1.0,90.0
accuracy,0.9836896278701505,0.9836896278701505,0.9836896278701505,0.9836896278701505
macro avg,0.9733082601965887,0.9710511876619056,0.9701773540265958,12630.0
weighted avg,0.9846478923130078,0.9836896278701505,0.9834902312797517,12630.0
